WKT,D_NOP
"MULTIPOLYGON (((110.820033622175 -7.57448423627093,110.820072325033 -7.57449845399508,110.820021601014 -7.57461675068959,110.819981085767 -7.5746009039873,110.820033622175 -7.57448423627093)))","337202000600202750001"
"MULTIPOLYGON (((110.81676177704 -7.57427843965842,110.816800481638 -7.57428822528292,110.816782779973 -7.57434592934253,110.816744166597 -7.57433478690119,110.81676177704 -7.57427843965842)))","337202000600102650001"
"MULTIPOLYGON (((110.821654415879 -7.57798214827414,110.821736174183 -7.5780094092854,110.821724556095 -7.57804450181049,110.821642524782 -7.57801977347865,110.821654415879 -7.57798214827414)))","337202000600401680001"
"MULTIPOLYGON (((110.817496909396 -7.57313202602113,110.817471507053 -7.57317869114604,110.817420025368 -7.57315741220062,110.817438989597 -7.57311499585596,110.817496909396 -7.57313202602113)))","337202000600102640001"
"MULTIPOLYGON (((110.816471311335 -7.57538324841179,110.816480950599 -7.57531224380863,110.816522467322 -7.57531777917005,110.816512828026 -7.57538887423116,110.816471311335 -7.57538324841179)))","337202000600101800001"
"MULTIPOLYGON (((110.81639761977 -7.57536123632851,110.816411158923 -7.57528598189679,110.81644768927 -7.57529260064626,110.81643405947 -7.57536785504103,110.81639761977 -7.57536123632851)))","337202000600102630001"
"MULTIPOLYGON (((110.820549326297 -7.57628472259151,110.820590386689 -7.57629803667483,110.820547453448 -7.57642918151034,110.820506665117 -7.57641559616419,110.820549326297 -7.57628472259151)))","337202000600402170001"
"MULTIPOLYGON (((110.821162962277 -7.5773729003161,110.821205563191 -7.57738793365758,110.821158640969 -7.57751980056596,110.821116130697 -7.57750476725696,110.821162962277 -7.5773729003161)))","337202000600402160001"
"MULTIPOLYGON (((110.821525305571 -7.57714898720261,110.821617400391 -7.5771709155118,110.821577625755 -7.57733724948235,110.821484262908 -7.57731251647998,110.821525305571 -7.57714898720261)))","337202000600402140001"
"MULTIPOLYGON (((110.821419680674 -7.57696215037033,110.821488661083 -7.57697864181143,110.821462962012 -7.57708591317692,110.821393890972 -7.57706933123737,110.821419680674 -7.57696215037033)))","337202000600402110001"
"MULTIPOLYGON (((110.81961862079 -7.57729998825194,110.819705458317 -7.57732028656175,110.819687840521 -7.57739490621351,110.819624756282 -7.57736955215328,110.819607635471 -7.5773390610841,110.81961862079 -7.57729998825194)))","337202000600402100001"
"MULTIPOLYGON (((110.819639036845 -7.57725422551465,110.819717353734 -7.57727262069765,110.819707365123 -7.57731286988501,110.819628323639 -7.57729293663257,110.819639036845 -7.57725422551465)))","337202000600402090001"
"MULTIPOLYGON (((110.819714485775 -7.57719337926091,110.819762073532 -7.57720606292722,110.819756534914 -7.5772271370938,110.819706952781 -7.57721445260111,110.819714485775 -7.57719337926091)))","337202000600402080001"
"MULTIPOLYGON (((110.819705590949 -7.57721933671017,110.819835665016 -7.57725195503249,110.81982558813 -7.57728650540126,110.81969361007 -7.57725451948573,110.819705590949 -7.57721933671017)))","337202000600402080001"
"MULTIPOLYGON (((110.819732103332 -7.57711930234843,110.819805614746 -7.57713968557779,110.819792994003 -7.57718762251545,110.819717942188 -7.57716551996489,110.819732103332 -7.57711930234843)))","337202000600402070001"
"MULTIPOLYGON (((110.819817915878 -7.57698826580578,110.819955780888 -7.57703337036799,110.819945977593 -7.57706403120633,110.819988669836 -7.57707725556501,110.820026431718 -7.57695660165802,110.820104836711 -7.57698105742,110.820041204326 -7.57718437825719,110.819874423316 -7.57713329160517,110.819881231262 -7.57711176567735,110.819788414444 -7.57708232878117,110.819817915878 -7.57698826580578)))","337202000600402060001"
"MULTIPOLYGON (((110.81979049044 -7.57688594769507,110.819978572922 -7.57694174694306,110.819952619966 -7.57700460376443,110.819760275514 -7.57695178781877,110.81979049044 -7.57688594769507)))","337202000600402050001"
"MULTIPOLYGON (((110.819964662302 -7.57682134304727,110.820162170361 -7.57688284489795,110.82013521023 -7.57696985330978,110.819797386896 -7.57686957784867,110.819814811013 -7.57682462797542,110.81994587765 -7.57686810150253,110.819964662302 -7.57682134304727)))","337202000600402040001"
"MULTIPOLYGON (((110.819895027995 -7.5766333447973,110.820215087479 -7.57672311984515,110.820172333099 -7.57685978258285,110.819837498129 -7.57676737813916,110.819895027995 -7.5766333447973)))","337202000600402030001"
"MULTIPOLYGON (((110.819907288088 -7.57658061348949,110.820108245582 -7.57663071921838,110.820096353267 -7.57667105808756,110.819891952548 -7.57661706128174,110.819907288088 -7.57658061348949)))","337202000600402020001"
"MULTIPOLYGON (((110.819917907554 -7.57654922933337,110.82012058936 -7.57659472246695,110.820112056772 -7.57662167510169,110.819909286217 -7.57657156862486,110.819917907554 -7.57654922933337)))","337202000600402010001"
"MULTIPOLYGON (((110.819925080618 -7.57652164294206,110.820128943456 -7.57656098548996,110.82012286042 -7.57658332583429,110.819917366189 -7.57654307803966,110.819925080618 -7.57652164294206)))","337202000600402000001"
"MULTIPOLYGON (((110.819936063595 -7.57648808796981,110.820140288093 -7.57652969208443,110.820133659676 -7.57655556002325,110.819927623228 -7.5765112414488,110.819936063595 -7.57648808796981)))","337202000600401990001"
"MULTIPOLYGON (((110.819950128592 -7.57645498655598,110.820150272293 -7.57649993588418,110.820142919589 -7.57652354210131,110.819939057856 -7.57648157631034,110.819950128592 -7.57645498655598)))","337202000600401980001"
"MULTIPOLYGON (((110.819972634777 -7.57639674161005,110.820029648699 -7.5764134997032,110.8200208452 -7.5764379194309,110.820159078938 -7.57646791777458,110.820150004048 -7.57649098053923,110.819952307988 -7.57644603222292,110.819972634777 -7.57639674161005)))","337202000600401970001"
"MULTIPOLYGON (((110.820053778294 -7.57637533685775,110.820182498754 -7.57639248638132,110.820162435658 -7.57646176809079,110.820033176328 -7.57643240665528,110.820053778294 -7.57637533685775)))","337202000600401960001"
"MULTIPOLYGON (((110.819994231832 -7.57634473781372,110.820109715637 -7.57636495742227,110.820109801224 -7.57637716914062,110.819988696279 -7.5763584849761,110.819994231832 -7.57634473781372)))","337202000600401950001"
"MULTIPOLYGON (((110.820206648814 -7.57630493406164,110.820239914934 -7.57631363165745,110.820220491562 -7.57637052103729,110.820185049685 -7.57636200345542,110.820206648814 -7.57630493406164)))","337202000600401940001"
"MULTIPOLYGON (((110.820168488248 -7.57629424439027,110.820197766189 -7.57630158348874,110.82017625745 -7.57635928611776,110.820145619707 -7.57635194645621,110.820168488248 -7.57629424439027)))","337202000600401930001"
"MULTIPOLYGON (((110.820131697049 -7.57626048876867,110.820154084783 -7.57626918187794,110.820147368231 -7.5762889891679,110.820161055212 -7.57629297492415,110.820138911371 -7.57635194368574,110.820106823703 -7.57634333702593,110.820131697049 -7.57626048876867)))","337202000600401920001"
"MULTIPOLYGON (((110.820149226992 -7.57617881341683,110.820180860969 -7.57618841491204,110.820156807455 -7.5762617655355,110.820129434322 -7.57625180397062,110.820095675237 -7.57633880957514,110.820089149107 -7.57633663591331,110.820149226992 -7.57617881341683)))","337202000600401910001"
"MULTIPOLYGON (((110.820115599246 -7.57616776378525,110.820141432133 -7.57617564420585,110.820127998542 -7.57621643472512,110.820101440804 -7.57620764943515,110.820115599246 -7.57616776378525)))","337202000600401900001"
"MULTIPOLYGON (((110.820011203242 -7.57629834043286,110.820081996963 -7.57631383781702,110.820073465804 -7.5763373530894,110.820001674444 -7.5763229407744,110.820011203242 -7.57629834043286)))","337202000600401890001"
"MULTIPOLYGON (((110.820026630427 -7.57625945033667,110.820096246139 -7.57627377129173,110.820086532475 -7.57630696496547,110.820012385075 -7.57629029025623,110.820026630427 -7.57625945033667)))","337202000600401880001"
"MULTIPOLYGON (((110.820041784749 -7.57622273109289,110.820105778496 -7.57624057754279,110.820096612055 -7.57626581123467,110.820028990413 -7.57625221475902,110.820041784749 -7.57622273109289)))","337202000600401870001"
"MULTIPOLYGON (((110.819731129928 -7.57728013432412,110.819798932085 -7.57729599234622,110.819779225593 -7.57737947591451,110.819709702062 -7.57736108438306,110.819731129928 -7.57728013432412)))","337202000600401860001"
